year,miles,price,battery,performance,awd
2013.0,23000.0,47995.0,,False,False
2013.0,40000.0,48400.0,,True,False
2016.0,13085.0,97500.0,70,False,False
2014.0,20614.0,82888.0,85,True,True
2016.0,6686.0,107950.0,90,True,True
2015.0,42174.0,63887.0,85,False,True
2016.0,7247.0,96980.0,90,False,False
2015.0,16277.0,80980.0,85,False,False
2016.0,6805.0,78480.0,90,False,False
2014.0,27491.0,74980.0,85,False,False
2016.0,7473.0,74030.0,90,False,False
2016.0,8222.0,69980.0,75,False,False
2014.0,8605.0,59980.0,85,False,False
2014.0,22836.0,58230.0,85,False,False
2013.0,45269.0,55980.0,85,False,False
2013.0,39961.0,47230.0,85,False,False
2013.0,62399.0,44480.0,85,False,False
2013.0,51708.0,42230.0,85,False,False
2015.0,16533.0,60990.0,70,False,False
2014.0,15830.0,58230.0,85,False,False
2014.0,31851.0,54980.0,85,False,False
2013.0,34509.0,51980.0,85,False,False
2014.0,40783.0,49980.0,85,False,False
2013.0,25634.0,49977.0,,False,False
2013.0,46883.0,48977.0,85,True,False
2013.0,26021.0,48977.0,85,False,False
2012.0,41015.0,48877.0,,False,False
2014.0,36372.0,46977.0,,False,False
2013.0,46882.0,44577.0,,False,False
2013.0,51165.0,43977.0,60,False,False
2013.0,73204.0,39577.0,,False,False
2014.0,27583.0,,,False,False
2013.0,119838.0,,,False,False
2013.0,74305.0,,,True,False
2017.0,1760.0,98777.0,90,False,True
2014.0,17750.0,61564.0,75,False,False
2014.0,28653.0,54979.0,,True,False
2015.0,37956.0,68196.0,85,True,True
2014.0,25000.0,61500.0,60,False,False
2015.0,12215.0,67991.0,90,False,True
2012.0,14592.0,52990.0,85,True,False
2014.0,20434.0,54988.0,85,False,False
2015.0,33633.0,64980.0,85,False,True
2013.0,32224.0,49500.0,,True,False
2014.0,46255.0,57700.0,,True,False
2015.0,8992.0,95000.0,90,True,True
2012.0,38689.0,51490.0,,True,False
2014.0,66500.0,55000.0,85,False,False
2014.0,24255.0,55739.0,,False,False
2016.0,4145.0,100987.0,90,True,True
2015.0,14788.0,69987.0,85,False,True
2015.0,12667.0,78500.0,85,True,True
2013.0,76404.0,39500.0,85,False,False
2013.0,61366.0,39400.0,60,False,False
2013.0,35414.0,39995.0,,False,False
2012.0,49830.0,45999.0,,False,False
2013.0,66795.0,38999.0,,False,False
2014.0,50286.0,47975.0,,False,False
2013.0,42673.0,50760.0,,True,False
2012.0,42516.0,49250.0,,False,False
2013.0,34518.0,44546.0,,False,False
2013.0,53614.0,42994.0,,False,False
2014.0,25720.0,70000.0,,False,False
2014.0,20130.0,56700.0,,False,False
2016.0,3266.0,,,True,False
2012.0,49024.0,,,False,False
2013.0,11247.0,,,True,False
2015.0,12711.0,,,True,False
2015.0,24577.0,,,True,False
2014.0,28355.0,,,True,False
2015.0,13827.0,,,False,False
2015.0,3810.0,,,False,False
2014.0,26784.0,,,False,False
2013.0,38248.0,40995.0,,False,False
2014.0,57500.0,56000.0,85,False,False
2016.0,11867.0,82987.0,,False,False
2016.0,5200.0,119000.0,90,True,True
2013.0,54000.0,59900.0,,True,False
2013.0,42704.0,48000.0,,False,False
2014.0,31000.0,58500.0,,False,False
2014.0,26761.0,58000.0,85,True,False
2014.0,36127.0,57000.0,,True,False
2014.0,41062.0,51000.0,85,True,False
2015.0,6866.0,74899.0,85,False,True
2012.0,21045.0,49900.0,85,True,False
2013.0,34880.0,53988.0,,True,False
2015.0,3746.0,98800.0,,True,False
2015.0,13500.0,77800.0,90,False,True
2015.0,8613.0,74800.0,85,False,True
2016.0,2350.0,73800.0,,False,False
2013.0,28758.0,53800.0,,True,False
2013.0,28647.0,42990.0,,False,False
2015.0,23062.0,69800.0,90,False,True
2013.0,32280.0,48800.0,,True,False
2013.0,22373.0,44800.0,,False,False
2013.0,34230.0,44995.0,60,False,False
2015.0,22673.0,83990.0,90,True,True
2015.0,22293.0,81600.0,,True,False
2014.0,30664.0,78400.0,,True,False
2014.0,15958.0,,,False,False
2014.0,33608.0,,,False,False
2014.0,7946.0,,,True,False
2014.0,15958.0,,,False,False
2014.0,13593.0,,,True,False
2016.0,5395.0,76995.0,,False,False
2013.0,36995.0,49995.0,,False,False
2013.0,15999.0,54999.0,60,False,False
2014.0,33288.0,52947.0,85,False,False
2015.0,25000.0,95000.0,90,True,True
2016.0,5562.0,99999.0,,True,False
2013.0,57637.0,44950.0,,False,False
2016.0,2890.0,107000.0,90,True,True
2015.0,6461.0,81479.0,85,False,True
2012.0,53014.0,44900.0,60,False,False
2014.0,24754.0,65000.0,85,True,False
2015.0,25757.0,65888.0,,True,False
2015.0,25157.0,76995.0,85,True,True
2013.0,53580.0,46900.0,,True,False
2014.0,27660.0,56994.0,,True,False
2015.0,26906.0,58800.0,,False,False
2014.0,23000.0,56500.0,85,False,False
2015.0,42000.0,55000.0,85,True,False
2013.0,53150.0,49900.0,60,False,False
2015.0,5421.0,96969.0,90,True,True
2015.0,15525.0,96400.0,,True,False
2014.0,17343.0,78000.0,,True,False
2014.0,40046.0,58500.0,,False,False
2014.0,21887.0,57900.0,,False,False
2014.0,11828.0,54000.0,,False,False
